Marca,Cor,Vendedor,Produto,Tags,Preço Original,Preço Pix,Preço Parcelado,Quantidade de Parcelas
Vizzano,Preto,Dafiti,Sandália Feminina Vizzano Baixa Tiras Preta,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 129,90","R$ 69,99","R$ 74,46",1x
Vizzano,Preto,Dafiti,Tênis Vizzano Preto,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 149,99","R$ 109,99","R$ 117,01",1x
Beira Rio,Marrom,Dafiti,Sandália Feminina Beira Rio Salto Bloco Marrom,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 119,90","R$ 79,99","R$ 85,10",1x
Vizzano,Bege,Dafiti,Scarpin Vizzano Bico Fino Bege,"Calçados,Calçados Femininos,Scarpin","R$ 129,90","R$ 99,99","R$ 106,37",1x
Bebecê,Marrom,Dafiti,Scarpin Feminino Bebecê Bico Fino Marrom,"Calçados,Calçados Femininos,Scarpin","R$ 119,99","R$ 94,99","R$ 101,05",1x
Modare,Preto,Dafiti,Mocassim Modare Bridão Preto,"Calçados,Calçados Femininos,Mocassim","R$ 119,99","R$ 84,99","R$ 90,41",1x
Coca Cola,Bege,Dafiti,Tênis Feminino Coca Cola Pingente Garrafa Bege,"Calçados,Calçados Femininos,Tênis,Tênis Casual","R$ 149,99","R$ 99,99","R$ 106,37",1x
VIA UNO,Marrom,Dafiti,Sapatilha VIA UNO Croco Marrom,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 99,99","R$ 64,99","R$ 69,14",1x
Vizzano,Marrom,Dafiti,Sandália Feminina Vizzano Tiras Entrelaç...,"Calçados,Calçados Femininos,Sandálias","R$ 139,99","R$ 104,99","R$ 111,69",1x
Modare,Off-white,Dafiti,Mocassim Tratorado Modare Aplicação Off-White,"Calçados,Calçados Femininos,Mocassim","R$ 139,99","R$ 64,99","R$ 69,14",1x
Moleca,Nude,Dafiti,Rasteira Feminina Moleca Tiras Entrelaçadas Nude,"Calçados,Calçados Femininos,Rasteirinhas","R$ 69,90","R$ 44,99","R$ 47,86",1x
Santa Lolla,Preto,Dafiti,Scarpin Santa Lolla Croco Preto,"Calçados,Calçados Femininos,Scarpin","R$ 259,99","R$ 219,99","R$ 234,03",3x
Beira Rio,Preto,Dafiti,Sandália Beira Rio Fisherman Preta,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 149,90","R$ 104,99","R$ 111,69",1x
Vizzano,Nude,Dafiti,Scarpin Vizzano Salto Grosso Nude,"Calçados,Calçados Femininos,Scarpin","R$ 139,99","R$ 104,99","R$ 111,69",1x
Bebecê,Vinho,Dafiti,Scarpin Feminino Bebecê Salto Alto Vinho,"Calçados,Calçados Femininos,Scarpin","R$ 129,99",N/A,"R$ 129,99",2x
Bebecê,Bege,Dafiti,Sapatilha Slingback Bebecê Tira Hotfix Bege,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 89,99","R$ 69,99","R$ 74,46",1x
VIA UNO,Preto,Dafiti,Sapatilha Feminina VIA UNO Slingback Croco Preta,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 109,99",N/A,"R$ 109,99",1x
Jorge Bischoff,Off-white,Dafiti,Sapatilha Slingback Jorge Bischoff Lisa Off-White,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 449,00","R$ 189,99","R$ 202,12",3x
VIA UNO,Dourado,Dafiti,Sandália Feminina VIA UNO Anabela Metali...,"Calçados,Calçados Femininos,Sandálias","R$ 129,99","R$ 79,99","R$ 85,10",1x
Santa Lolla,Preto,Dafiti,Sapatilha Santa Lolla Bico Fino Preta,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 249,99","R$ 144,99","R$ 154,24",2x
Vizzano,Bege,Dafiti,Scarpin Vizzano Liso Bege,"Calçados,Calçados Femininos,Scarpin","R$ 129,99","R$ 99,99","R$ 106,37",1x
Vizzano,Off-white,Dafiti,Scarpin Vizzano Slingback Off-White,"Calçados,Calçados Femininos,Scarpin","R$ 119,99","R$ 99,99","R$ 106,37",1x
VIA UNO,Caramelo,Dafiti,Sandália Via Uno Liso Caramelo,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 119,99","R$ 89,99","R$ 95,73",1x
VIA UNO,Caramelo,Dafiti,Sapatilha Via Uno Matelassê Caramelo,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Redondo","R$ 99,99","R$ 74,99","R$ 79,78",1x
VIA UNO,Preto,Dafiti,Sandália Feminina VIA UNO Salto Baixo Preta,"Calçados,Calçados Femininos,Sandálias","R$ 129,99","R$ 89,99","R$ 95,73",1x
Modare,Preto,Dafiti,Sapatilha Modare Recorte Preta,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Redondo","R$ 99,90","R$ 94,99","R$ 94,99",1x
VIA UNO,Dourado,Dafiti,Rasteirinha Via Uno Metalizada Dourada,"Calçados,Calçados Femininos,Rasteirinhas","R$ 69,99","R$ 44,99","R$ 47,86",1x
Bebecê,Caramelo,Dafiti,Sapatilha Bebecê Croco Caramelo,"Calçados,Calçados Femininos,Sapatilhas,Sapatilha Bico Fino","R$ 89,99","R$ 64,99","R$ 69,14",1x
Beira Rio,Preto,Dafiti,Sandália Beira Rio Recortes Preta,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 114,99","R$ 89,99","R$ 95,73",1x
Beira Rio,Marrom,Dafiti,Sandália Feminina Beira Rio Salto Bloco Marrom,"Calçados,Calçados Femininos,Sandálias,Sandália Salto Grosso","R$ 99,99","R$ 64,99","R$ 69,14",1x
